"","DATE","alpha_q1","beta_q1","gamma_q1","alpha_q2","beta_q2","gamma_q2"
"1",1989,4.82641791282794,4.29175892228029,20.7138221400327,3.01197432080387,4.11955095522366,12.4079816903767
"2",1990,5.46532682177797,3.71166572037506,20.2854662150397,3.55049301438827,3.52805570991866,12.5263371524389
"3",1995,5.71322539599751,3.94176727724232,22.5202049134528,3.76819703433357,3.63242146314263,13.6876797848637
"4",1997,5.89361813219172,3.92835827591883,23.1522435647006,3.83000456215334,3.83959725212996,14.7056749924892
"5",2006,6.07492135556962,4.04707985349371,24.5856918296845,3.99999319667726,3.75557163176054,15.0222609766763
"6",2008,6.14173119109035,4.18471451942367,25.701391689753,3.95343746277913,4.01524569819164,15.8740227654936
"7",2010,6.0707772360968,4.15444116143446,25.2206868315399,3.87169514636119,4.07679340303758,15.7841012312579
"8",2011,6.05467714355007,4.16638982275444,25.2261452309509,3.93851686281665,3.94168507214723,15.5243931245645
"9",2012,6.40537686971112,4.10525032207125,26.2956754573693,4.12846781928364,3.88896521956407,16.0554677592836
"10",2013,6.78966758496958,4.06412773368002,27.5940763345431,4.4201347731842,3.87049994694481,17.1081314050983
"11",2014,6.73557645055937,3.99465924468949,26.9063327365398,4.40285656644406,3.74108582185104,16.4714642763677
