"LTER.site","google.id","TAXON_GROUP","CV_alpha_0","CV_beta_0","CV_gamma_0","CV_alpha_2","CV_beta_2","CV_gamma_2"
"CSUN-USVI","0BxUZSA1Gn1HZZGowdUVCTTdtXzg","coral",0.277790119755299,0.15790046195212,0.189761075563147,0.185707784397469,0.136897781795716,0.199499709295529
"FCE","0B7o8j0RLpcxiaHFtUTk2cmV1RFU","algae",0.0578960465742437,0.235438784323989,0.256918444908589,0.0567665076345099,0.104890348437734,0.146255769183175
"FCE","0B7o8j0RLpcxiaHFtUTk2cmV1RFU","diatoms",0.0578960465742437,0.235438784323989,0.256918444908589,0.0567665076345099,0.104890348437734,0.146255769183175
"JRN","0B7o8j0RLpcxiYW10X1djMTBGM0U","lizards",0.161308985745686,0.132210245864393,0.162033689021176,0.173754075487986,0.113977912670738,0.235280507761023
"MCR","0BxUZSA1Gn1HZenhxaVJ6bWtVdDg","algae",0.253806496052414,0.0759606601076126,0.26864252378576,0.145391564848435,0.0123740329590637,0.148146832902576
"MCR","0BxUZSA1Gn1HZTnYzZVdwM3hyN2M","invertebrates",0.175446511990959,0.146772616319377,0.199796674117795,0.0883241323473571,0.204863947027646,0.222700744052719
"MCR","0BxUZSA1Gn1HZV3BuelZVN1NRUnc","fish",0.114421267906727,0.149142030108071,0.0260033206686736,0.426735016058895,0.226334497394732,0.384134104258028
"MCR","0BxUZSA1Gn1HZZGR2VjdMbmU3Mm8","coral",0.119626171930728,0.0812266719736674,0.137710141877072,0.358698054472303,0.250401900296209,0.232284844985006
"NTL","0B2P104M94skvaEFFYXNrU3NzbjQ","macroinvertebrates",0.144474329751143,0.11988440679222,0.159098380076806,0.146818792587151,0.164080016415122,0.216939053334558
"NTL","0B2P104M94skvN0RlNkpydG9sOUU","fish",0.120692883485294,0.0770349105448104,0.1641669468591,0.372582017293924,0.241721797314716,0.402849255946347
"NWT","0B2P104M94skvQzE2QUMtNHpCcXc","plants",0.0686447154325033,0.0562279002256566,0.0543491145367189,0.10014541399048,0.047352857625546,0.103220966377858
"SBC","0BxUZSA1Gn1HZclVoLVlONlgtcTg","sessile invertebrates",0.25292967634464,0.265223838605156,0.185109955457597,0.292870852830175,0.276235886330471,0.383018877168424
"SBC","0BxUZSA1Gn1HZeEtNSEtJRDQxa2M","fish",0.176898741455969,0.107612314987654,0.180893108844515,0.339145773208225,0.328878024685301,0.336250679353064
"SBC","0BxUZSA1Gn1HZVXAyRk9QVV9fYkU","fish",0.294619569408571,0.188870585022536,0.332515272205654,0.349453755835579,0.213522108206095,0.347126349104044
"SBC","0BxUZSA1Gn1HZWDkwN1hwNmVUcEE","macroalgae",0.234808406340739,0.199704674668533,0.164585170016175,0.359598891483227,0.272360194709076,0.273864450959914
"SBC","0BxUZSA1Gn1HZWVZsdFdrRmhpTm8","mobile invertebrates",0.0641151420387944,0.0695562549592782,0.0627668204210467,0.130036918079342,0.135121239923491,0.199497034445292
"SBC","0BxUZSA1Gn1HZYVp0MXBod2oxczQ","sessile invertebrates",0.120243460138476,0.0838972793313884,0.141109118198702,0.132544698460396,0.150900890329702,0.268568352876307
"SBC","0BxUZSA1Gn1HZYXpqcFVRUUs0YVE","mobile invertebrates",0.237476401611432,0.248055264118517,0.18316975742966,0.335370707805539,0.21886935269732,0.364939132461304
"SBC","0BxUZSA1Gn1HZZWl6d3BMeVNlT0U","macroalgae",0.0855674760853642,0.0881705209327664,0.140747020237828,0.203019235253288,0.191448129340175,0.366094745940728
