"","10km","30km","60km","90km"
"Arctic",228.676479523132,477.034569496365,487.646050210492,479.587856541178
"Moorea.Coral.Reef",988.44610132546,1218.17864498088,996.882584656022,851.086251080736
"Palmer.Station",63.9986625348519,101.31341983598,757.384225021851,1089.71731273326
"Luquillo",176.170300773773,1018.04775757991,2200.64609557227,2527.16823345044
"McMurdo.Dry.Valleys",508.178164762205,569.741049139306,800.643174595802,881.117039274395
"Plum.Island.Ecosystem",19.8678773186772,72.800319304852,170.246428302413,233.045841939136
"Shortgrass.Steppe",94.8528410834122,273.766918262631,456.399963175709,524.676955590453
"Niwot.Ridge",406.064628286847,640.066994325869,607.757703480936,602.001233775087
"Northern.Lakes",12.2455940476995,26.8041491887936,129.587019152103,156.725901238655
"Konza",38.4351124682077,38.6521140852424,50.6613029202132,77.8559223112808
"Hubbard.Brook",201.941578257279,201.49317362289,209.054913860491,235.792306502506
"Harvard.Forest",53.3494606208911,115.497618545529,178.285837685847,193.417667172932
"Georgia.Coastal.Ecosystems",7.45294522523921,16.2731892033683,32.2335639672498,157.962748321819
"Florida.Coastal.Everglades",1.40105005510534,13.8861548426434,286.324829519964,339.586063567944
"Coweeta",215.562157239536,308.34953196109,311.215705259227,270.284893087858
"California.Current.Ecosystem",373.207776209624,243.647864969501,590.314556108842,1004.73801030954
"Central.Arizona.Phoenix",46.6378607455055,215.543944190533,404.442461104274,515.688889183489
"Bonanza.Creek",120.367679091896,122.438292940208,440.303673033796,486.034001563601
"Andrews",270.62773753334,498.162666445005,562.595352458502,616.569266575576
"Virginia.Coast.Reserve",9.09955329519587,12.8204382813241,247.325255885911,705.134469853667
"Kellogg.Biological.Station",19.3786796374919,31.2901263509801,62.027355398971,77.4449241220265
"Cedar.Creek",5.97804165558656,28.2883893614413,44.1137094447433,51.3794160541271
"Sevilleta",119.750907581189,234.429641622778,315.919168510535,336.789164421672
"Cariboe.Poker.Creek.Research.Watershed",124.381785632761,166.489459312821,227.207380130454,352.523049538817
"Yahara.Area",24.3942143210161,32.1351359735157,36.5925001399071,65.0840777176294
"Gwynns.Falls.Watershed",57.1621384578017,83.427784356907,107.60258349984,163.408049613897
"Chihuahuan.Desert.Nature.Park",158.455202896897,160.472515453258,316.843569377661,389.17956049077
"Chihuahuan.Desert.Rangeland.Research.Center",64.3729970942541,159.853678751323,328.457355663781,396.820058476758
"Jornada.Experimenta.Range",176.908577563338,187.47965295228,351.861932490447,399.909279923588
"Santa.Barbara.Coastal",185.156405415548,598.173835397476,802.326218233308,1153.49846011028
